day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
163,4.575007309941521,4.787902777777777,1.669881489202978,152,2.7527303665901557,2.8666666666666667,1.0545351189688483,152
164,4.210091586151369,4.344986111111111,1.541812248229586,138,2.849157615661702,2.90625,1.0101087419594608,138
165,4.306727111111111,4.532611111111111,1.3858659198342975,125,2.85566139657444,2.9250000000000003,1.118921149704746,125
166,4.111119555555556,4.179222222222222,1.2395081489915938,125,2.9970088828733075,3.1125000000000003,1.1626507310854748,125
167,4.211480444444445,4.286194444444444,1.4155624708956376,125,2.878476689748086,3.1,1.051746626674191,125
168,3.800457892416226,3.767888888888889,1.3637001494967502,126,2.7005972680776535,2.873484848484849,1.0655546979961454,126
169,3.878198222222222,3.914833333333333,1.407072146822366,125,2.691455243048332,2.8,1.067137312513435,125
170,4.369175333333334,4.533,1.343745667981385,125,2.705206984126984,2.7875,0.9919981878094511,125
171,4.389768444444445,4.6355,1.2997429606756739,125,2.8757410690758514,2.875,1.164061018891461,125
172,4.0962731111111115,4.14975,1.4918784005395398,125,2.9375582684287487,3.083333333333333,1.1290815619472203,125
173,4.214534888888889,4.320666666666667,1.418587617571576,125,2.8764407449356555,2.920833333333333,1.1313070499020719,125
174,3.8650564373897707,3.680138888888889,1.419321463000031,126,2.8189889001612602,2.759601449275362,1.07180712564534,126
175,3.9263031111111113,4.096666666666667,1.342864186813434,125,2.8265589774578332,2.9958333333333336,1.025218962975651,125
176,3.9574037777777775,4.045972222222222,1.2742928995960354,125,2.9800044431527555,3.1791666666666667,1.1285979518122806,125
177,4.191203555555556,4.336388888888889,1.5132825058914474,125,2.9505936559753496,2.9782608695652173,1.0950256693253553,125
178,3.9380692239858903,3.9314166666666663,1.3920319600850042,126,2.912326089073881,2.9371323529411764,1.1161584757322236,126
