day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
120,4.613650732127477,4.740055555555556,1.6950679681333185,129,2.5986871547037786,2.566666666666667,0.9545197613575411,129
121,5.021688131313131,5.384541666666667,1.7065748783147532,176,2.469442098027917,2.566964285714286,0.9852581779312438,176
122,4.698214245014245,4.761805555555555,1.714607028387694,195,2.374124637439855,2.3625000000000003,0.9899449971981659,195
123,4.7655452097505675,4.953819444444445,1.5862893580667659,196,2.6324536482832404,2.7125,0.9720825684163756,196
124,4.850578656462585,5.110569444444445,1.5230351964771365,196,2.458918082983747,2.4916666666666663,1.0827798835143483,196
125,4.769740740740741,4.8865694444444445,1.4045944836191222,192,2.386334954014132,2.4312500000000004,0.9840460059040238,192
126,4.489403911564626,4.626652777777778,1.2826514659356711,196,2.3948076871614643,2.3208333333333333,0.9122447599099455,196
127,4.630311307519641,4.822638888888889,1.345481915486805,198,2.379577194081476,2.35625,0.9711928772299386,198
128,4.4044710941906375,4.512305555555556,1.3831854563306412,197,2.6863407295455963,2.6750000000000003,1.0589710505147485,197
129,4.863947150997151,5.159583333333333,1.4901886748635556,195,2.7343859554717675,2.7541666666666664,1.0530513114872408,195
130,4.991777210884353,5.074958333333334,1.7884616055729943,196,2.6481855065101514,2.664583333333333,1.0375519166318634,196
131,4.977714710884354,4.989652777777778,1.7768641615614438,196,2.6333350621537117,2.644746376811594,1.0635950781599806,196
132,5.1179198005698,5.383472222222222,1.637647518523012,195,2.577989518962851,2.591666666666667,1.0999974041328298,195
133,4.810791296296297,5.068847222222223,1.567921103496564,150,2.562132695374801,2.5583333333333336,1.058931991057627,150
134,4.818538057742782,5.174722222222222,1.3870456040276395,127,2.5007433371717864,2.4833333333333334,0.975416359111486,127
135,4.648784829059829,4.974694444444444,1.4577345819544356,130,2.5521565246347855,2.5625,1.0678425754359242,130
136,4.640901162790698,4.857638888888889,1.480432139523009,129,2.358402196893097,2.3000000000000003,1.0482447073430285,129
137,4.670839362618433,4.860416666666667,1.3983638677980537,129,2.360101469702076,2.325,0.9663785920402195,129
138,4.550637166236004,4.655638888888888,1.2956019376460783,129,2.692732893721266,2.8000000000000003,0.9638024155915235,129
139,4.515623600344531,4.74925,1.421627900779085,129,2.5850697468467945,2.6791666666666667,0.9549601965934692,129
140,4.773554487179488,4.995319444444445,1.2835297004051862,130,2.6001478089035297,2.7416666666666663,1.0260889651914833,130
141,4.428682508680556,4.605,1.432157908725833,128,2.7075230493012423,2.5562500000000004,1.116429087061519,128
142,4.560189453125,4.754083333333334,1.2986595713418119,128,2.561236380861265,2.645833333333333,1.0214801664729496,128
143,4.523686197916667,4.468666666666667,1.277069924100321,128,2.582542389392763,2.5407196969696972,1.0635546647760215,128
144,4.340425996607294,4.440472222222222,1.3722053393741982,131,2.496740645127635,2.5869565217391304,0.9023436008307297,131
145,3.9783763782866837,4.134111111111111,1.41334883627627,131,2.570185257822165,2.6791666666666667,0.9875716410882918,131
146,4.264376802374894,4.2975,1.273692497199709,131,2.570694842550966,2.670833333333333,0.9586521548247638,131
147,4.4026914758269715,4.522305555555556,1.3819895131088988,131,2.548981002955447,2.708333333333333,0.9789164098398585,131
148,4.086284987277353,4.244472222222222,1.3979561084172525,131,2.5625746407591743,2.5291666666666663,0.9593630147645571,131
